What social media accounts do you currently use? Please select all that apply!  - Facebook ,What social media accounts do you currently use? Please select all that apply!  - Instagram ,What social media accounts do you currently use? Please select all that apply!  - Twitter ,What social media accounts do you currently use? Please select all that apply!  - TikTok ,What social media accounts do you currently use? Please select all that apply!  - LinkedIn,What social media accounts do you currently use? Please select all that apply!  - None of the above ,"On your main social media platform, how many profiles do you have? ","How many hours a day, approximately, do you spend using social media? This includes communicating, sharing and networking, blogs, personal email and instant messaging. ",What is your thoughts with brands being on social media? Please give as much detail as possible! ,Have you ever had a two-way conversation with a brand you have previously made a purchase from on a social media platform? ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Facebook ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Instagram ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Twitter ,On which social media platform have you had conversations with brands on? Please select all that apply!  - TikTok ,On which social media platform have you had conversations with brands on? Please select all that apply!  - LinkedIn ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Web chat on their website ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Other,Please state how much you trust a brand being recommended to you from the below sources:  - Recommendations from people that I know ,Please state how much you trust a brand being recommended to you from the below sources:  - Consumer opinions posted online ,Please state how much you trust a brand being recommended to you from the below sources:  - Brand websites ,Please state how much you trust a brand being recommended to you from the below sources:  - Newspaper articles ,Please state how much you trust a brand being recommended to you from the below sources:  - Brand sponsorship ,Please state how much you trust a brand being recommended to you from the below sources:  - TV advertisements ,Please state how much you trust a brand being recommended to you from the below sources:  - Newspaper advertisement ,Please state how much you trust a brand being recommended to you from the below sources:  - Magazines ,Please state how much you trust a brand being recommended to you from the below sources:  - Billboard / Outdoor advertising ,Please state how much you trust a brand being recommended to you from the below sources:  - Radio ,Please state how much you trust a brand being recommended to you from the below sources:  - Emails I signed up for ,Please state how much you trust a brand being recommended to you from the below sources:  - Advertisements before movies ,Please state how much you trust a brand being recommended to you from the below sources:  - Search engine results advertisements (Google etc.) ,Please state how much you trust a brand being recommended to you from the below sources:  - Online video advertisements ,Please state how much you trust a brand being recommended to you from the below sources:  - Online banner advertisements ,Please state how much you trust a brand being recommended to you from the below sources:  - Text advertisements on mobile phones ,How frequently do you share brand recommendations online? ,When was the last time you bought from a brand you have never purchased from before? ,Where did you first purchase that new brand from?,"On a scale from 0-10, how important is a brand's purpose in influencing your purchasing decision? (For example, Patagonia's fight against climate change would be their 'brand purpose').","Generally, how much do you trust that brands are living up to their brand purpose? ","Do you remember a brand better because of their tagline? (For example, Tesco's 'Every Little Helps' tagline)",What helps you understand a brand's offering better: Tagline or Hashtag?,Age,Gender,Irish County,Device OS
Yes,Yes,Yes,Yes,No,No,1 ,Less than 1 hour ,No opinion ,No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Never ,In the last 6 months ,A department store,2,Neither Trust or Distrust ,No ,Tagline,56 65,Female,Connacht,I OS
Yes,Yes,No,Yes,No,No,2,2-4 hours ,No comment ,Yes,No,No,No,Yes,No,No,No,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Every few days ,In the last month ,Their website,4,Trust Somewhat ,Yes ,Tagline,56 65,Female,Munster,I OS
Yes,No,No,No,No,No,2,4-6 hours ,It's good to keep up with current brands,No,,,,,,,,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Every few months ,In the last month ,Their own retail shop,6,Trust Somewhat ,Yes ,Tagline,56 65,Female,Connacht,Android
Yes,Yes,No,Yes,No,No,1 ,1-2 hours ,I think it s good as everyone is on social media now. Great free advertising ,No,,,,,,,,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Every few weeks ,In the last month ,A department store,5,Trust Somewhat ,Yes ,Tagline,56 65,Female,Ulster ROI Only,I OS
Yes,Yes,Yes,No,No,No,1 ,1-2 hours ,I like to see new brands. They can be very interesting. Sometimes there are too many but it’s not a problem for me ,No,,,,,,,,Neither Trust or Distrust ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Every few months ,In the last 18 months ,Their website,9,Trust Somewhat ,Yes ,Tagline,56 65,Female,Leinster,I OS
Yes,No,No,Yes,No,No,I do not have social media ,Less than 1 hour ,I huess the money has to come from somewhere.,No,,,,,,,,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Never ,In the last 6 months ,A department store,5,Neither Trust or Distrust ,Yes ,Neither,56 65,Female,Leinster,Android
Yes,Yes,No,No,Yes,No,1 ,1-2 hours ,"Yes, good.  Good marketing tool, and great way to interact with the different companies/ brands",No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Distrust Somewhat,Every few months ,In the last 6 months ,Their own retail shop,3,Trust Somewhat ,Yes ,Tagline,56 65,Female,Dublin,I OS
No,No,No,No,No,Yes,I do not have social media ,Less than 1 hour ,Nothing,No,,,,,,,,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Never ,In the last 18 months ,Other,9,Trust Somewhat ,No ,Neither,56 65,Female,Ulster ROI Only,Web
No,Yes,Yes,No,Yes,No,1 ,1-2 hours ,It informs the public of their products and services ,No,,,,,,,,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Never ,In the last month ,Their Instagram page,7,Trust Somewhat ,No ,Neither,56 65,Female,Connacht,Web
Yes,Yes,No,No,No,No,1 ,1-2 hours ,"I like following brands, I get to know when they introduce new products or have sales",Yes,Yes,No,No,No,No,No,No,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Distrust Completely ,Distrust Completely ,Every few days ,In the past week ,Their website,8,Trust Somewhat ,No ,Neither,56 65,Female,Ulster ROI Only,Android
Yes,Yes,No,No,No,No,1 ,1-2 hours ,Great platform for advertising ,No,,,,,,,,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Every few days ,In the last month ,Their Facebook page,3,Trust Somewhat ,Yes ,Neither,56 65,Female,Dublin,Android
Yes,Yes,Yes,No,No,No,1 ,1-2 hours ,"It works well for them, sales are up",Yes,Yes,Yes,No,No,No,No,No,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Never ,In the last 18 months ,Their own retail shop,5,Trust Somewhat ,Yes ,Tagline,56 65,Female,Dublin,Web
No,Yes,No,No,No,No,1 ,Less than 1 hour ,It's a good way to advertise  new products ,No,,,,,,,,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Never ,I only ever buy from brands I'm familiar with,,3,Neither Trust or Distrust ,Yes ,Tagline,56 65,Female,Munster,Web
Yes,Yes,No,No,No,No,1 ,1-2 hours ,Social media great way of advertising,No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Every few months ,In the last 6 months ,Their Facebook page,9,Trust Somewhat ,Yes ,Hashtag ,56 65,Female,Munster,Android
