What social media accounts do you currently use? Please select all that apply!  - Facebook ,What social media accounts do you currently use? Please select all that apply!  - Instagram ,What social media accounts do you currently use? Please select all that apply!  - Twitter ,What social media accounts do you currently use? Please select all that apply!  - TikTok ,What social media accounts do you currently use? Please select all that apply!  - LinkedIn,What social media accounts do you currently use? Please select all that apply!  - None of the above ,"On your main social media platform, how many profiles do you have? ","How many hours a day, approximately, do you spend using social media? This includes communicating, sharing and networking, blogs, personal email and instant messaging. ",What is your thoughts with brands being on social media? Please give as much detail as possible! ,Have you ever had a two-way conversation with a brand you have previously made a purchase from on a social media platform? ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Facebook ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Instagram ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Twitter ,On which social media platform have you had conversations with brands on? Please select all that apply!  - TikTok ,On which social media platform have you had conversations with brands on? Please select all that apply!  - LinkedIn ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Web chat on their website ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Other,Please state how much you trust a brand being recommended to you from the below sources:  - Recommendations from people that I know ,Please state how much you trust a brand being recommended to you from the below sources:  - Consumer opinions posted online ,Please state how much you trust a brand being recommended to you from the below sources:  - Brand websites ,Please state how much you trust a brand being recommended to you from the below sources:  - Newspaper articles ,Please state how much you trust a brand being recommended to you from the below sources:  - Brand sponsorship ,Please state how much you trust a brand being recommended to you from the below sources:  - TV advertisements ,Please state how much you trust a brand being recommended to you from the below sources:  - Newspaper advertisement ,Please state how much you trust a brand being recommended to you from the below sources:  - Magazines ,Please state how much you trust a brand being recommended to you from the below sources:  - Billboard / Outdoor advertising ,Please state how much you trust a brand being recommended to you from the below sources:  - Radio ,Please state how much you trust a brand being recommended to you from the below sources:  - Emails I signed up for ,Please state how much you trust a brand being recommended to you from the below sources:  - Advertisements before movies ,Please state how much you trust a brand being recommended to you from the below sources:  - Search engine results advertisements (Google etc.) ,Please state how much you trust a brand being recommended to you from the below sources:  - Online video advertisements ,Please state how much you trust a brand being recommended to you from the below sources:  - Online banner advertisements ,Please state how much you trust a brand being recommended to you from the below sources:  - Text advertisements on mobile phones ,How frequently do you share brand recommendations online? ,When was the last time you bought from a brand you have never purchased from before? ,Where did you first purchase that new brand from?,"On a scale from 0-10, how important is a brand's purpose in influencing your purchasing decision? (For example, Patagonia's fight against climate change would be their 'brand purpose').","Generally, how much do you trust that brands are living up to their brand purpose? ","Do you remember a brand better because of their tagline? (For example, Tesco's 'Every Little Helps' tagline)",What helps you understand a brand's offering better: Tagline or Hashtag?,Age,Gender,Irish County,Device OS
No,No,No,No,No,Yes,1 ,1-2 hours ,"Definitely a good idea to advertise and serves as a great outlet for those looking for information on small companies eg open times, services offered, special offers, events etc.",No,,,,,,,,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Distrust Somewhat,Trust Completely ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Distrust Completely ,Never ,In the last month ,Their website,7,Distrust Somewhat ,No ,Neither,18 22,Male,Leinster,I OS
No,Yes,No,Yes,No,No,1 ,1-2 hours ,Good marketing,No,,,,,,,,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Completely ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Completely ,Distrust Completely ,Every few months ,In the last month ,Their website,4,Trust Somewhat ,No ,Neither,18 22,Male,Connacht,Android
Yes,Yes,Yes,Yes,No,No,More than 2 ,2-4 hours ,Yeah I think it's good as long as they're not spreading the wrong message. ,Yes,Yes,No,No,No,No,No,No,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Every few months ,In the last month ,Their website,8,Trust Somewhat ,No ,Hashtag ,18 22,Male,Leinster,Android
No,Yes,No,Yes,No,No,1 ,4-6 hours ,"Ye it's a good way for them to make money, lots of people use it",Yes,No,Yes,No,No,No,No,No,Trust Somewhat ,Distrust Somewhat,Trust Completely ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Distrust Somewhat,Distrust Somewhat,Neither Trust or Distrust ,Trust Somewhat ,Trust Completely ,Trust Completely ,Distrust Completely ,Trust Somewhat ,Trust Somewhat ,Distrust Completely ,Every few days ,In the last month ,Their website,10,Neither Trust or Distrust ,No ,Hashtag ,18 22,Male,Ulster ROI Only,Android
Yes,Yes,Yes,Yes,No,No,More than 2 ,2-4 hours ,Staying with the timed ,Yes,No,Yes,Yes,No,No,No,No,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Every few days ,In the last 6 months ,Their Instagram page,7,Neither Trust or Distrust ,Yes ,Tagline,18 22,Male,Connacht,I OS
Yes,No,No,Yes,No,No,1 ,1-2 hours ,good way to advertise,No,,,,,,,,Trust Completely ,Distrust Somewhat,Distrust Completely ,Neither Trust or Distrust ,Distrust Completely ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Distrust Completely ,Distrust Completely ,Distrust Completely ,Distrust Completely ,Never ,I only ever buy from brands I'm familiar with,,2,Distrust Completely ,No ,Neither,18 22,Male,Dublin,Web
No,No,No,No,No,Yes,I do not have social media ,Less than 1 hour ,None,No,,,,,,,,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Completely ,Never ,I only ever buy from brands I'm familiar with,,10,Neither Trust or Distrust ,No ,Neither,18 22,Male,Dublin,Android
No,Yes,No,Yes,No,No,1 ,1-2 hours ,I don't take notice of them,No,,,,,,,,Trust Somewhat ,Distrust Completely ,Neither Trust or Distrust ,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Distrust Completely ,Never ,In the past week ,A department store,4,Distrust Somewhat ,No ,Neither,18 22,Male,Munster,Android
No,No,No,No,No,Yes,1 ,2-4 hours ,they are ok,No,,,,,,,,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Every few days ,In the last month ,Their website,8,Trust Somewhat ,I don't know ,Hashtag ,18 22,Male,Leinster,Web
Yes,Yes,Yes,No,Yes,No,2,2-4 hours ,"Brands should either be funny or authentic on social media. Be representative of the brand itself and, where genuine, CSR,",No,,,,,,,,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Every few months ,In the last 6 months ,Other,7,Distrust Somewhat ,Yes ,Tagline,18 22,Male,Dublin,I OS
