What social media accounts do you currently use? Please select all that apply!  - Facebook ,What social media accounts do you currently use? Please select all that apply!  - Instagram ,What social media accounts do you currently use? Please select all that apply!  - Twitter ,What social media accounts do you currently use? Please select all that apply!  - TikTok ,What social media accounts do you currently use? Please select all that apply!  - LinkedIn,What social media accounts do you currently use? Please select all that apply!  - None of the above ,"On your main social media platform, how many profiles do you have? ","How many hours a day, approximately, do you spend using social media? This includes communicating, sharing and networking, blogs, personal email and instant messaging. ",What is your thoughts with brands being on social media? Please give as much detail as possible! ,Have you ever had a two-way conversation with a brand you have previously made a purchase from on a social media platform? ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Facebook ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Instagram ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Twitter ,On which social media platform have you had conversations with brands on? Please select all that apply!  - TikTok ,On which social media platform have you had conversations with brands on? Please select all that apply!  - LinkedIn ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Web chat on their website ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Other,Please state how much you trust a brand being recommended to you from the below sources:  - Recommendations from people that I know ,Please state how much you trust a brand being recommended to you from the below sources:  - Consumer opinions posted online ,Please state how much you trust a brand being recommended to you from the below sources:  - Brand websites ,Please state how much you trust a brand being recommended to you from the below sources:  - Newspaper articles ,Please state how much you trust a brand being recommended to you from the below sources:  - Brand sponsorship ,Please state how much you trust a brand being recommended to you from the below sources:  - TV advertisements ,Please state how much you trust a brand being recommended to you from the below sources:  - Newspaper advertisement ,Please state how much you trust a brand being recommended to you from the below sources:  - Magazines ,Please state how much you trust a brand being recommended to you from the below sources:  - Billboard / Outdoor advertising ,Please state how much you trust a brand being recommended to you from the below sources:  - Radio ,Please state how much you trust a brand being recommended to you from the below sources:  - Emails I signed up for ,Please state how much you trust a brand being recommended to you from the below sources:  - Advertisements before movies ,Please state how much you trust a brand being recommended to you from the below sources:  - Search engine results advertisements (Google etc.) ,Please state how much you trust a brand being recommended to you from the below sources:  - Online video advertisements ,Please state how much you trust a brand being recommended to you from the below sources:  - Online banner advertisements ,Please state how much you trust a brand being recommended to you from the below sources:  - Text advertisements on mobile phones ,How frequently do you share brand recommendations online? ,When was the last time you bought from a brand you have never purchased from before? ,Where did you first purchase that new brand from?,"On a scale from 0-10, how important is a brand's purpose in influencing your purchasing decision? (For example, Patagonia's fight against climate change would be their 'brand purpose').","Generally, how much do you trust that brands are living up to their brand purpose? ","Do you remember a brand better because of their tagline? (For example, Tesco's 'Every Little Helps' tagline)",What helps you understand a brand's offering better: Tagline or Hashtag?,Gender,Age,Irish County,Device OS
No,Yes,No,Yes,No,No,1 ,1-2 hours ,It can helpful to reach out to customers,No,,,,,,,,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Every few months ,In the last month ,Their own retail shop,8,Trust Somewhat ,Yes ,Tagline,Male,23 35,Leinster,Android
No,No,Yes,No,No,No,1 ,Less than 1 hour ,not sure,No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Every few weeks ,In the last 6 months ,Their website,7,Trust Somewhat ,Yes ,Hashtag ,Male,23 35,Leinster,Android
Yes,Yes,Yes,No,Yes,No,More than 2 ,Less than 1 hour ,Ok. Instagram is full of brands,Yes,No,Yes,Yes,No,No,No,No,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Trust Completely ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Daily ,In the last 6 months ,Their own retail shop,4,Trust Somewhat ,Yes ,Tagline,Male,23 35,Munster,I OS
No,Yes,No,No,Yes,No,2,2-4 hours ,Some good info out there on brands you might never have looked up but some questionable marketing ,No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Distrust Completely ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Completely ,Distrust Completely ,Distrust Completely ,Never ,In the last month ,Their Instagram page,5,Distrust Completely ,Yes ,Tagline,Male,23 35,Dublin,I OS
Yes,Yes,No,No,No,No,2,1-2 hours ,I only use it for funny videos as I think social media has lots of fake news and misinformation and also it's easy to keep comparing your self to these fake people and fell bad ,Yes,Yes,No,No,No,No,No,No,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Never ,In the last 6 months ,Their website,1,Trust Somewhat ,Yes ,Neither,Male,23 35,Leinster,Web
Yes,No,No,No,No,No,1 ,Less than 1 hour ,"It's ok, but there is plenty of krap",No,,,,,,,,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Never ,I only ever buy from brands I'm familiar with,,6,Neither Trust or Distrust ,Yes ,Neither,Male,23 35,Munster,Web
Yes,Yes,Yes,Yes,Yes,No,More than 2 ,1-2 hours ,You can easily find products information ,Yes,Yes,Yes,Yes,No,No,No,No,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Every few months ,In the last 6 months ,Their website,8,Trust Somewhat ,I don't know ,Tagline,Male,23 35,Leinster,Android
Yes,Yes,No,No,Yes,No,1 ,2-4 hours ,It’s annoying!,No,,,,,,,,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Never ,In the last 6 months ,Their own retail shop,5,Neither Trust or Distrust ,No ,Neither,Male,23 35,Dublin,I OS
No,Yes,Yes,Yes,No,No,1 ,1-2 hours ,. ,No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Distrust Somewhat,Never ,In the last 6 months ,Their website,2,Distrust Somewhat ,Yes ,Tagline,Male,23 35,Connacht,I OS
Yes,Yes,Yes,No,Yes,No,2,4-6 hours ,I think it's great having to create awareness to people about your product,Yes,Yes,Yes,Yes,No,No,Yes,No,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Every few days ,In the past week ,Their website,0,Trust Somewhat ,Yes ,Tagline,Male,23 35,Munster,Android
